website,robots_url,status,cluster_id,cluster_tag,ai_block_count,disallow_scope_ratio,crawl_delay_norm,blocks_search_engines,global_disallow_root,ai_only_block,wildcard_usage,sitemap_present
accuweather.com,https://www.accuweather.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,4,0,1,0,0,1,1
adobe.com,https://www.adobe.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,4.933333333,0,1,0,0,1,1
aliexpress.com,https://www.aliexpress.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,2.4,0.5,1,0,0,1,1
apple.com,https://www.apple.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,0.3,0,1,0,0,1,1
avito.ru,https://www.avito.ru/robots.txt,Valid robots.txt,1,Full Opt-out,0,7.9,0,1,0,0,1,1
bbc.co.uk,https://www.bbc.co.uk/robots.txt,Valid robots.txt,1,Full Opt-out,12,2.6,0,1,0,0,1,1
bbc.com,https://www.bbc.com/robots.txt,Valid robots.txt,1,Full Opt-out,12,2.366666667,0,1,0,0,1,1
booking.com,https://www.booking.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,4.533333333,0,1,0,0,1,1
cnn.com,https://www.cnn.com/robots.txt,Valid robots.txt,1,Full Opt-out,1,1.333333333,0,1,0,0,1,1
cricbuzz.com,https://www.cricbuzz.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,13.33333333,0,1,1,0,1,1
dailymail.co.uk,https://www.dailymail.co.uk/robots.txt,Valid robots.txt,1,Full Opt-out,1,0.733333333,0,1,0,0,1,1
dailymotion.com,https://www.dailymotion.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,24.73333333,0,1,0,0,1,1
dzen.ru,https://www.dzen.ru/robots.txt,Valid robots.txt,1,Full Opt-out,0,3.066666667,0,1,0,0,1,1
ebay.com,https://www.ebay.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,14.3,0,1,0,0,1,1
etsy.com,https://www.etsy.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,38.83333333,0,0,0,0,1,0
facebook.com,https://www.facebook.com/robots.txt,Valid robots.txt,1,Full Opt-out,5,20.76666667,0,1,1,0,1,1
google.co.jp,https://www.google.co.jp/robots.txt,Valid robots.txt,1,Full Opt-out,0,6.9,0,1,0,0,1,1
google.co.uk,https://www.google.co.uk/robots.txt,Valid robots.txt,1,Full Opt-out,0,6.9,0,1,0,0,1,1
google.com,https://www.google.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,6.9,0,1,0,0,1,1
google.com.br,https://www.google.com.br/robots.txt,Valid robots.txt,1,Full Opt-out,0,6.9,0,1,0,0,1,1
google.de,https://www.google.de/robots.txt,Valid robots.txt,1,Full Opt-out,0,6.9,0,1,0,0,1,1
google.fr,https://www.google.fr/robots.txt,Valid robots.txt,1,Full Opt-out,0,6.9,0,1,0,0,1,1
imdb.com,https://www.imdb.com/robots.txt,Valid robots.txt,1,Full Opt-out,5,2.533333333,0,1,0,0,1,0
indeed.com,https://www.indeed.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,12.1,0,1,0,0,1,0
instagram.com,https://www.instagram.com/robots.txt,Valid robots.txt,1,Full Opt-out,5,5.7,0,1,1,0,1,1
linkedin.com,https://www.linkedin.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,39.43333333,0,1,0,0,1,0
marca.com,https://www.marca.com/robots.txt,Valid robots.txt,1,Full Opt-out,6,4.566666667,0,1,0,0,1,0
msn.com,https://www.msn.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,1.033333333,3,1,0,0,1,1
nytimes.com,https://www.nytimes.com/robots.txt,Valid robots.txt,1,Full Opt-out,15,4.733333333,0,1,0,0,1,1
ozon.ru,https://www.ozon.ru/robots.txt,Valid robots.txt,1,Full Opt-out,0,7.566666667,0,1,0,0,1,0
pinterest.com,https://www.pinterest.com/robots.txt,Valid robots.txt,1,Full Opt-out,2,21.83333333,0,1,0,0,1,1
quora.com,https://www.quora.com/robots.txt,Valid robots.txt,1,Full Opt-out,9,23.46666667,0,1,1,0,1,0
rutube.ru,https://www.rutube.ru/robots.txt,Valid robots.txt,1,Full Opt-out,0,8.633333333,10,1,0,0,1,1
samsung.com,https://www.samsung.com/robots.txt,Valid robots.txt,1,Full Opt-out,1,4.6,0,1,0,0,1,1
telegram.com,https://www.telegram.com/robots.txt,Valid robots.txt,1,Full Opt-out,17,6,0,1,0,0,1,1
temu.com,https://www.temu.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,7.833333333,0,1,0,0,1,1
tiktok.com,https://www.tiktok.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,0.6,0,1,0,0,1,0
twitter.com,https://www.twitter.com/robots.txt,Valid robots.txt,1,Full Opt-out,1,1.066666667,1,1,1,0,1,1
vk.com,https://www.vk.com/robots.txt,Valid robots.txt,1,Full Opt-out,0,7.666666667,0,1,0,0,1,0
wildberries.ru,https://www.wildberries.ru/robots.txt,Valid robots.txt,1,Full Opt-out,0,2,0,1,0,0,1,0
x.com,https://www.x.com/robots.txt,Valid robots.txt,1,Full Opt-out,1,1.066666667,1,1,1,0,1,1
ya.ru,https://www.ya.ru/robots.txt,Valid robots.txt,1,Full Opt-out,0,28.53333333,0,1,0,0,1,1
yandex.ru,https://www.yandex.ru/robots.txt,Valid robots.txt,1,Full Opt-out,0,29.7,0,1,0,0,1,1
